City_State_x,gender,age,income,prediction
"Jackson, TN",M,36,53914,0.87528837
"Jacksonville, NC",M,28,55414,0.9486211
"Beloit, WI",M,36,58211,0.90897167
"JeffersonCity, MO",M,36,56371,0.93309426
"JohnsonCity, TN",M,39,53256,0.90459013
"Johnstown, PA",M,40,54542,0.9486211
"Jonesboro, AR",M,33,49218,0.8194163
"Joplin, MO",M,35,48863,0.8194163
"Lahaina, HI",M,38,64506,0.94881797
"Portage, MI",M,34,64603,0.94881797
"Richland, WA",M,32,57298,0.9084522
"Temple, TX",M,31,52626,0.90459013
"Kingston, NY",M,40,66744,0.9085907
"Kokomo, IN",M,37,51962,0.93041027
"Onalaska, WIMN",M,37,64463,0.87663233
"Lafayette, LA",M,34,57699,0.90897167
"LakeCharles, LA",M,35,56369,0.93309426
"Kingman, AZ",M,45,45471,0.9219512
"Lancaster, PA",M,36,67916,0.9299786
"EastLansing, MI",M,36,55540,0.93309426
"Laredo, TX",M,28,45055,0.9219512
"LasCruces, NM",M,34,49703,0.80695224
"Lawrence, KS",M,33,56994,0.9084522
"Lawton, OK",M,33,52476,0.93041027
"Lewiston, IDWA",M,39,58014,0.90897167
"Auburn, ME",M,37,54925,0.9486211
"Lima, OH",M,36,55395,0.9486211
"Lincoln, NE",M,34,62620,0.9289021
"Conway, AR",M,35,58768,0.9450275
"Logan, UTID",M,28,51660,0.93041027
"Longview, TX",M,35,53855,0.87528837
"Longview, WA",M,37,60112,0.908626
"Lubbock, TX",M,32,56310,0.93309426
"Lynchburg, VA",M,37,52353,0.93041027
"Madison, WI",M,35,76139,0.78451467
"Nashua, NH",M,37,79148,0.8993384
"Manhattan, KS",M,29,56143,0.93309426
"Mankato, MN",M,34,58944,0.9450275
"Mansfield, OH",M,37,50976,0.8605786
"Mission, TX",M,29,38071,0.9662938
"Medford, OR",M,39,62743,0.9289021
"Memphis, TNMSAR",M,34,62608,0.9289021
"Merced, CA",M,30,51248,0.8605786
"PompanoBeach, FL",M,38,81186,0.81334573
"Midland, MI",M,38,68416,0.9299786
"Midland, TX",M,30,138020,0.79300815
"Waukesha, WI",M,36,72651,0.9027615
"Bloomington, MNWI",M,35,79256,0.8993384
"Missoula, MT",M,36,68150,0.9299786
"Mobile, AL",M,35,51364,0.8605786
"Modesto, CA",M,32,57701,0.90897167
"Monroe, LA",M,35,51816,0.93041027
"Montgomery, AL",M,35,54586,0.9486211
"Morgantown, WV",M,35,54934,0.9486211
"Morristown, TN",M,38,48828,0.8194163
"Anacortes, WA",M,38,70648,0.9344384
"Muncie, IN",M,36,50119,0.80695224
"Muskegon, MI",M,36,51478,0.8605786
"Napa, CA",M,39,99811,0.70476395
"Franklin, TN",M,34,77323,0.7738398
"Milford, CT",M,37,71458,0.9344384
"Metairie, LA",M,36,67807,0.9299786
"Niles, MI",M,38,65830,0.93077385
"Bradenton, FL",M,46,76716,0.7738398
"Brent, FL",M,46,58107,0.90897167
"Ocala, FL",M,42,49932,0.80695224
"Odessa, TX",M,29,58936,0.9450275
"Clearfield, UT",M,31,57542,0.90897167
"OklahomaCity, OK",M,34,63039,0.9289021
"Tumwater, WA",M,36,67387,0.9085907
"CouncilBluffs, NEIA",M,35,70630,0.9344384
"Sanford, FL",M,36,58615,0.9450275
"Neenah, WI",M,37,60738,0.9030247
"Owensboro, KY",M,35,55020,0.9486211
"Ventura, CA",M,36,80889,0.81334573
"Titusville, FL",M,41,61219,0.9030247
"PanamaCity, FL",M,38,59505,0.908626
"Chandler, AZ",M,35,64262,0.87663233
"Pittsburgh, PA",M,39,72553,0.9027615
"Pittsfield, MA",M,42,71867,0.934037
"Pocatello, ID",M,33,49852,0.80695224
"Hillsboro, ORWA",M,36,75377,0.9608107
"Middletown, NY",M,36,68755,0.9270455
"Warwick, RIMA",M,37,71302,0.9344384
"Orem, UT",M,26,55687,0.93309426
"Racine, WI",M,36,62688,0.9289021
"Cary, NC",M,34,73349,0.9027615
"Reading, PA",M,36,63928,0.87663233
"Redding, CA",M,38,60647,0.9030247
"Reno, NV",M,37,78658,0.8993384
"Richmond, VA",M,36,72765,0.9027615
"Ontario, CA",M,33,55503,0.93309426
"Roanoke, VA",M,39,59603,0.908626
"Rochester, MN",M,36,69561,0.8610918
"Rochester, NY",M,37,64606,0.94881797
"Rockford, IL",M,36,56439,0.93309426
"Rome, GA",M,35,49484,0.8194163
"Folsom, CA",M,35,72811,0.9027615
"Saginaw, MI",M,37,54415,0.87528837
"StGeorge, UT",M,36,51982,0.93041027
"StJoseph, MOKS",M,37,51234,0.8605786
"Topeka, KS",M,37,59219,0.9450275
"Salem, OR",M,35,58369,0.90897167
"Salinas, CA",M,33,69762,0.8610918
"Salisbury, MDDE",M,41,61543,0.9274596
"SanAngelo, TX",M,34,66316,0.93077385
"NewBraunfels, TX",M,33,59152,0.9450275
"Carlsbad, CA",M,35,79932,0.88613683
"Berkeley, CA",M,37,136386,0.79300815
"PasoRobles, CA",M,38,73285,0.9027615
"Watsonville, CA",M,37,94338,0.84631574
"SantaFe, NM",M,42,76804,0.7738398
"SantaBarbara, CA",M,34,81500,0.8943689
"Petaluma, CA",M,39,89416,0.7418173
"Savannah, GA",M,34,59198,0.9450275
"Bellevue, WA",M,35,98269,0.92967933
"Sheboygan, WI",M,38,64268,0.87663233
"BossierCity, LA",M,35,61041,0.9030247
"Douglas, AZ",M,35,54260,0.87528837
"SiouxCity, IANESD",M,33,66024,0.93077385
"SiouxFalls, SD",M,33,78765,0.8993384
"Mishawaka, INMI",M,35,61919,0.9274596
"Spartanburg, SC",M,35,55884,0.93309426
"SpokaneValley, WA",M,36,58711,0.9450275
"Springfield, IL",M,37,63163,0.9289021
"Springfield, MA",M,37,68042,0.9299786
"Springfield, MO",M,35,53708,0.87528837
"Springfield, OH",M,35,52897,0.90459013
"Staunton, VA",M,39,57319,0.9084522
"Stockton, CA",M,32,63649,0.87663233
"Sumter, SC",M,36,51462,0.8605786
"Syracuse, NY",M,37,64193,0.87663233
"Tallahassee, FL",M,35,57817,0.90897167
"Clearwater, FL",M,39,64410,0.87663233
"TheVillages, FL",M,58,70854,0.9344384
"Toledo, OH",M,36,60091,0.908626
"Princeton, NJ",M,36,85985,0.66289264
"Tucson, AZ",M,37,58403,0.90897167
"Tulsa, OK",M,35,66132,0.93077385
"Tyler, TX",M,35,66633,0.9085907
"Valdosta, GA",M,32,47067,0.86913663
"Vallejo, CA",M,36,72093,0.934037
"Victoria, TX",M,35,64331,0.87663233
"NewportNews, VANC",M,35,62577,0.9289021
"Visalia, CA",M,30,52862,0.90459013
"Waco, TX",M,33,54285,0.87528837
"WallaWalla, WA",M,36,59187,0.9450275
"Steubenville, WVOH",M,34,53614,0.87528837
"Wheeling, WVOH",M,39,55848,0.93309426
"Wichita, KS",M,34,62116,0.9274596
"Williamsport, PA",M,38,55694,0.93309426
"Wilmington, NC",M,38,61651,0.9274596
"Winchester, VAWV",M,37,62288,0.9274596
"Worcester, MACT",M,37,71167,0.9344384
"Yakima, WA",M,32,56040,0.93309426
"Hanover, PA",M,37,63796,0.87663233
"Boardman, OHPA",M,39,53953,0.87528837
"Yuma, AZ",M,35,48631,0.8194163
"Akron, OH",F,39,52874,0.8696866
"Albany, GA",F,37,41182,0.9492823
"Lebanon, OR",F,38,47353,0.80396354
"Troy, NY",F,40,60979,0.86763215
"Albuquerque, NM",F,38,46990,0.80396354
"Alexandria, LA",F,37,46484,0.8007168
"Alexandria, DCVAMDWV",F,37,72614,0.84414464
"Easton, PANJ",F,40,56294,0.90755266
"Amarillo, TX",F,35,50472,0.8471505
"Ames, IA",F,35,44111,0.913416
"Anchorage, AK",F,34,60072,0.8749949
"AnnArbor, MI",F,36,61726,0.8999975
"Oxford, AL",F,39,38404,0.9465305
"Appleton, WI",F,37,52332,0.9039495
"Asheville, NC",F,43,49407,0.736975
"Alpharetta, GA",F,36,56949,0.87476593
"Hammonton, NJ",F,40,52493,0.9039495
"Opelika, AL",F,35,40469,0.88445956
"Georgetown, TX",F,35,64043,0.83338493
"Bakersfield, CA",F,32,41159,0.9492823
"Towson, MD",F,38,63509,0.83338493
"Bangor, ME",F,41,45347,0.8794324
"BatonRouge, LA",F,36,50755,0.89187825
"BattleCreek, MI",F,39,42979,0.850028
"BayCity, MI",F,41,45305,0.8794324
"Beckley, WV",F,41,41412,0.9492823
"Bellingham, WA",F,38,52251,0.9039495
"Bend, OR",F,41,60848,0.86763215
"Billings, MT",F,38,53637,0.8316603
"Binghamton, NY",F,40,46100,0.8007168
"Hoover, AL",F,38,53277,0.8696866
"Bismarck, ND",F,37,57546,0.8754503
"Christiansburg, VA",F,37,40263,0.88445956
"Bloomington, IL",F,35,52667,0.8696866
"Bloomington, IN",F,36,46618,0.80396354
"Berwick, PA",F,41,48108,0.85055506
"Brunswick, GA",F,41,46386,0.8007168
"Newton, MANH",F,39,83066,0.81902486
"Boulder, CO",F,38,80369,0.8107618
"BowlingGreen, KY",F,36,38902,0.9505115
"PortOrchard, WA",F,40,60770,0.86763215
"Norwalk, CT",F,39,114635,0.8172335
"Harlingen, TX",F,33,34058,0.9334831
"Cheektowaga, NY",F,40,51138,0.89187825
"Burlington, NC",F,38,43417,0.850028
"Massillon, OH",F,40,46925,0.80396354
"FortMyers, FL",F,45,56563,0.87476593
"CapeGirardeau, MOIL",F,38,43603,0.913416
"Marion, IL",F,39,43738,0.913416
"CarsonCity, NV",F,41,54126,0.8316603
"Casper, WY",F,37,62938,0.9019283
"CedarRapids, IA",F,38,53061,0.8696866
"Urbana, IL",F,35,49717,0.8471505
"Charleston, WV",F,41,46474,0.8007168
"Gastonia, NCSC",F,37,55870,0.90755266
"Charlottesville, VA",F,39,69474,0.8670402
"Chattanooga, TNGA",F,39,48534,0.736975
"Cheyenne, WY",F,37,52583,0.8696866
"Elgin, ILINWI",F,37,64751,0.928821
"Chico, CA",F,38,49146,0.736975
"Cincinnati, OHKYIN",F,37,56753,0.87476593
"Clarksville, TNKY",F,33,42618,0.850028
"Cleveland, TN",F,39,40869,0.9492823
"Elyria, OH",F,40,55789,0.90755266
"Bryan, TX",F,33,42914,0.850028
"ColoradoSprings, CO",F,36,52662,0.8696866
"Columbia, MO",F,35,48234,0.85055506
"Columbus, GAAL",F,36,42570,0.850028
"Columbus, IN",F,37,54850,0.9285531
"Columbus, OH",F,36,53815,0.8316603
"Corvallis, OR",F,37,48633,0.736975
"Destin, FL",F,38,57961,0.8754503
"Arlington, TX",F,34,59990,0.8749949
"Dalton, GA",F,36,40120,0.88445956
"Foley, AL",F,41,49222,0.736975
"Kettering, OH",F,39,50025,0.8471505
"Decatur, AL",F,39,41843,0.9320632
"Decatur, IL",F,40,50984,0.89187825
"OrmondBeach, FL",F,44,48208,0.85055506
"Lakewood, CO",F,36,70129,0.86118555
"Dothan, AL",F,40,44470,0.913416
"Dover, DE",F,38,45447,0.8794324
"Dubuque, IA",F,38,51035,0.89187825
"Duluth, MNWI",F,40,48188,0.85055506
"ChapelHill, NC",F,38,57128,0.87476593
"EauClaire, WI",F,37,49152,0.736975
"ElCentro, CA",F,33,42664,0.850028
"FortKnox, KY",F,37,44895,0.8794324
"Goshen, IN",F,35,49428,0.736975
"Elmira, NY",F,40,47032,0.80396354
"ElPaso, TX",F,34,39582,0.88445956
"Enid, OK",F,36,43840,0.913416
"Erie, PA",F,39,47393,0.80396354
"Springfield, OR",F,40,49594,0.8471505
"Evansville, INKY",F,39,50972,0.89187825
"Fairbanks, AK",F,33,58165,0.8754503
"Fargo, NDMN",F,34,55639,0.90755266
"Farmington, NM",F,36,37517,0.9465305
"Fayetteville, NC",F,34,40934,0.9492823
"Rogers, AR",F,34,63378,0.9019283
"Flagstaff, AZ",F,34,51171,0.89187825
"Flint, MI",F,39,44502,0.8794324
"Florence, SC",F,38,45520,0.8007168
"MuscleShoals, AL",F,36,40200,0.88445956
"Tuscaloosa, AL",F,36,39079,0.9505115
"FortSmith, AROK",F,38,40583,0.9492823
"FortWayne, IN",F,36,49120,0.736975
"Fresno, CA",F,33,46163,0.8007168
"Gadsden, AL",F,40,38320,0.9465305
"Gainesville, FL",F,37,45591,0.8007168
"Gainesville, GA",F,37,48423,0.85055506
"Gettysburg, PA",F,41,50117,0.8471505
"Goldsboro, NC",F,37,44878,0.8794324
"GrandIsland, NE",F,36,47045,0.80396354
"GrandJunction, CO",F,40,46841,0.80396354
"Kentwood, MI",F,36,51779,0.9039495
"GrantsPass, OR",F,43,49017,0.736975
"GreatFalls, MT",F,37,48339,0.85055506
"CedarFalls, IA",F,37,48176,0.85055506
"Greeley, CO",F,34,50703,0.89187825
"HighPoint, NC",F,38,46771,0.80396354
"Greenville, NC",F,35,48068,0.85055506
"Anderson, SC",F,38,45833,0.8007168
"Biloxi, MS",F,38,40024,0.88445956
"Hammond, LA",F,36,42392,0.9320632
"Carlisle, PA",F,39,54400,0.8316603
"Harrisonburg, VA",F,36,42486,0.9320632
"Hattiesburg, MS",F,36,40171,0.88445956
"Morganton, NC",F,41,43603,0.913416
"Bluffton, SC",F,44,59605,0.8749949
"Hinesville, GA",F,31,36782,0.91534823
"HotSprings, AR",F,43,42249,0.9320632
"Thibodaux, LA",F,37,44610,0.8794324
"Huntsville, AL",F,38,51969,0.9039495
"Anderson, IN",F,36,59192,0.92366874
"Ithaca, NY",F,37,46205,0.8007168
"Jackson, MI",F,39,42544,0.850028
"Jackson, MS",F,37,46855,0.80396354
"Jackson, TN",F,38,43940,0.913416
"Jacksonville, NC",F,31,45162,0.8794324
"Beloit, WI",F,38,47442,0.80396354
"JeffersonCity, MO",F,38,45942,0.8007168
"JohnsonCity, TN",F,41,43403,0.850028
"Johnstown, PA",F,42,44452,0.913416
"Jonesboro, AR",F,36,40112,0.88445956
"Joplin, MO",F,37,39823,0.88445956
"Lahaina, HI",F,40,52572,0.8696866
"Portage, MI",F,36,52651,0.8696866
"Richland, WA",F,33,46698,0.80396354
"Temple, TX",F,33,42890,0.850028
"Kingston, NY",F,42,54396,0.8316603
"Kokomo, IN",F,39,42349,0.9320632
"Onalaska, WIMN",F,38,52537,0.8696866
"Lafayette, LA",F,36,47024,0.80396354
"LakeCharles, LA",F,37,45941,0.8007168
"Kingman, AZ",F,46,37058,0.91534823
"Lancaster, PA",F,38,55352,0.9285531
"EastLansing, MI",F,37,45265,0.8794324
"Laredo, TX",F,30,36720,0.91534823
"LasCruces, NM",F,35,40507,0.9492823
"Lawrence, KS",F,35,46450,0.8007168
"Lawton, OK",F,35,42768,0.850028
"Lewiston, IDWA",F,41,47281,0.80396354
"Auburn, ME",F,39,44764,0.8794324
"Lima, OH",F,38,45147,0.8794324
"Lincoln, NE",F,35,51035,0.89187825
"Conway, AR",F,37,47896,0.85055506
"Logan, UTID",F,29,42103,0.9320632
"Longview, TX",F,37,43892,0.913416
"Longview, WA",F,39,48991,0.736975
"Lubbock, TX",F,34,45892,0.8007168
"Lynchburg, VA",F,39,42668,0.850028
"Madison, WI",F,37,62053,0.8999975
"Nashua, NH",F,39,64506,0.928821
"Manhattan, KS",F,31,45756,0.8007168
"Mankato, MN",F,35,48039,0.85055506
"Mansfield, OH",F,40,41546,0.9320632
"Mission, TX",F,31,31028,0.9575691
"Medford, OR",F,41,51135,0.89187825
"Memphis, TNMSAR",F,36,51025,0.89187825
"Merced, CA",F,32,41767,0.9320632
"PompanoBeach, FL",F,40,66166,0.9044372
"Midland, MI",F,40,55759,0.90755266
"Midland, TX",F,31,112486,0.7815717
"Waukesha, WI",F,37,59211,0.92366874
"Bloomington, MNWI",F,37,64594,0.928821
"Missoula, MT",F,37,55542,0.90755266
"Mobile, AL",F,38,41862,0.9320632
"Modesto, CA",F,34,47026,0.80396354
"Monroe, LA",F,37,42230,0.9320632
"Montgomery, AL",F,37,44487,0.913416
"Morgantown, WV",F,37,44771,0.8794324
"Morristown, TN",F,40,39795,0.88445956
"Anacortes, WA",F,40,57578,0.8754503
"Muncie, IN",F,38,40847,0.9492823
"Muskegon, MI",F,38,41955,0.9320632
"Napa, CA",F,40,81346,0.82094
"Franklin, TN",F,36,63018,0.9019283
"Milford, CT",F,40,58238,0.8754503
"Metairie, LA",F,38,55263,0.9285531
"Niles, MI",F,40,53651,0.8316603
"Bradenton, FL",F,48,62523,0.9019283
"Brent, FL",F,48,47357,0.80396354
"Ocala, FL",F,44,40695,0.9492823
"Odessa, TX",F,30,48033,0.85055506
"Clearfield, UT",F,32,46896,0.80396354
"OklahomaCity, OK",F,36,51377,0.89187825
"Tumwater, WA",F,39,54921,0.9285531
"CouncilBluffs, NEIA",F,36,57564,0.8754503
"Sanford, FL",F,37,47771,0.85055506
"Neenah, WI",F,38,49502,0.8471505
"Owensboro, KY",F,38,44841,0.8794324
"Ventura, CA",F,38,65925,0.9044372
"Titusville, FL",F,43,49894,0.8471505
"PanamaCity, FL",F,40,48496,0.85055506
"Chandler, AZ",F,37,52374,0.9039495
"Pittsburgh, PA",F,41,59131,0.92366874
"Pittsfield, MA",F,44,58571,0.92366874
"Pocatello, ID",F,35,40629,0.9492823
"Hillsboro, ORWA",F,38,61432,0.86763215
"Middletown, NY",F,38,56035,0.90755266
"Warwick, RIMA",F,40,58111,0.8754503
"Orem, UT",F,27,45385,0.8794324
"Racine, WI",F,38,51091,0.89187825
"Cary, NC",F,36,59780,0.8749949
"Reading, PA",F,38,52101,0.9039495
"Redding, CA",F,40,49428,0.736975
"Reno, NV",F,38,64106,0.83338493
"Richmond, VA",F,38,59304,0.92366874
"Ontario, CA",F,35,45235,0.8794324
"Roanoke, VA",F,41,48577,0.736975
"Rochester, MN",F,37,56692,0.87476593
"Rochester, NY",F,40,52654,0.8696866
"Rockford, IL",F,38,45998,0.8007168
"Rome, GA",F,38,40330,0.88445956
"Folsom, CA",F,37,59341,0.92366874
"Saginaw, MI",F,40,44348,0.913416
"StGeorge, UT",F,38,42365,0.9320632
"StJoseph, MOKS",F,39,41755,0.9320632
"Topeka, KS",F,39,48263,0.85055506
"Salem, OR",F,37,47571,0.85055506
"Salinas, CA",F,35,56856,0.87476593
"Salisbury, MDDE",F,43,50158,0.8471505
"SanAngelo, TX",F,36,54047,0.8316603
"NewBraunfels, TX",F,35,48208,0.85055506
"Carlsbad, CA",F,37,65144,0.928821
"Berkeley, CA",F,39,111155,0.73591703
"PasoRobles, CA",F,40,59727,0.8749949
"Watsonville, CA",F,38,76885,0.7872707
"SantaFe, NM",F,44,62595,0.9019283
"SantaBarbara, CA",F,36,66422,0.9044372
"Petaluma, CA",F,41,72874,0.84414464
"Savannah, GA",F,37,48247,0.85055506
"Bellevue, WA",F,37,80089,0.8107618
"Sheboygan, WI",F,39,52378,0.9039495
"BossierCity, LA",F,38,49749,0.8471505
"Douglas, AZ",F,37,44222,0.913416
"SiouxCity, IANESD",F,35,53810,0.8316603
"SiouxFalls, SD",F,35,64194,0.83338493
"Mishawaka, INMI",F,37,50464,0.8471505
"Spartanburg, SC",F,37,45545,0.8007168
"SpokaneValley, WA",F,38,47849,0.85055506
"Springfield, IL",F,39,51478,0.89187825
"Springfield, MA",F,39,55454,0.9285531
"Springfield, MO",F,37,43772,0.913416
"Springfield, OH",F,37,43111,0.850028
"Staunton, VA",F,41,46715,0.80396354
"Stockton, CA",F,34,51874,0.9039495
"Sumter, SC",F,39,41941,0.9320632
"Syracuse, NY",F,39,52317,0.9039495
"Tallahassee, FL",F,36,47120,0.80396354
"Clearwater, FL",F,41,52494,0.9039495
"TheVillages, FL",F,61,57746,0.8754503
"Toledo, OH",F,38,48974,0.736975
"Princeton, NJ",F,38,70078,0.86118555
"Tucson, AZ",F,39,47598,0.85055506
"Tulsa, OK",F,37,53898,0.8316603
"Tyler, TX",F,37,54306,0.8316603
"Valdosta, GA",F,34,38360,0.9465305
"Vallejo, CA",F,38,58755,0.92366874
"Victoria, TX",F,37,52430,0.9039495
"NewportNews, VANC",F,37,51000,0.89187825
"Visalia, CA",F,32,43082,0.850028
"Waco, TX",F,35,44242,0.913416
"WallaWalla, WA",F,38,48237,0.85055506
"Steubenville, WVOH",F,34,43695,0.913416
"Wheeling, WVOH",F,42,45516,0.8007168
"Wichita, KS",F,36,50624,0.89187825
"Williamsport, PA",F,40,45390,0.8794324
"Wilmington, NC",F,40,50246,0.8471505
"Winchester, VAWV",F,39,50765,0.89187825
"Worcester, MACT",F,39,58001,0.8754503
"Yakima, WA",F,33,45672,0.8007168
"Hanover, PA",F,39,51994,0.9039495
"Boardman, OHPA",F,42,43971,0.913416
"Yuma, AZ",F,37,39634,0.88445956
