gender,age,income,prediction
M,37,136386,0.79300815
M,38,73285,0.9027615
M,37,94338,0.84631574
M,42,76804,0.7738398
M,34,81500,0.8943689
M,39,89416,0.7418173
M,34,59198,0.9450275
M,35,98269,0.92967933
M,38,64268,0.87663233
M,35,61041,0.9030247
M,35,54260,0.87528837
M,33,66024,0.93077385
M,33,78765,0.8993384
M,35,61919,0.9274596
M,35,55884,0.93309426
M,36,58711,0.9450275
M,37,63163,0.9289021
M,37,68042,0.9299786
M,35,53708,0.87528837
M,35,52897,0.90459013
M,39,57319,0.9084522
M,32,63649,0.87663233
M,36,51462,0.8605786
M,37,64193,0.87663233
M,35,57817,0.90897167
M,39,64410,0.87663233
M,58,70854,0.9344384
M,36,60091,0.908626
M,36,85985,0.66289264
M,37,58403,0.90897167
M,35,66132,0.93077385
M,35,66633,0.9085907
M,32,47067,0.86913663
M,36,72093,0.934037
M,35,64331,0.87663233
M,35,62577,0.9289021
M,30,52862,0.90459013
M,33,54285,0.87528837
M,36,59187,0.9450275
M,34,53614,0.87528837
M,39,55848,0.93309426
M,34,62116,0.9274596
M,38,55694,0.93309426
M,38,61651,0.9274596
M,37,62288,0.9274596
M,37,71167,0.9344384
M,32,56040,0.93309426
M,37,63796,0.87663233
M,39,53953,0.87528837
M,35,48631,0.8194163
F,39,52874,0.8696866
F,37,41182,0.9492823
F,38,47353,0.80396354
F,40,60979,0.86763215
F,38,46990,0.80396354
F,37,46484,0.8007168
F,37,72614,0.84414464
F,40,56294,0.90755266
F,35,50472,0.8471505
F,35,44111,0.913416
F,34,60072,0.8749949
F,36,61726,0.8999975
F,39,38404,0.9465305
F,37,52332,0.9039495
F,43,49407,0.736975
F,36,56949,0.87476593
F,40,52493,0.9039495
F,35,40469,0.88445956
F,35,64043,0.83338493
F,32,41159,0.9492823
F,38,63509,0.83338493
F,41,45347,0.8794324
F,36,50755,0.89187825
F,39,42979,0.850028
F,41,45305,0.8794324
F,41,41412,0.9492823
F,38,52251,0.9039495
F,41,60848,0.86763215
F,38,53637,0.8316603
F,40,46100,0.8007168
F,38,53277,0.8696866
F,37,57546,0.8754503
F,37,40263,0.88445956
F,35,52667,0.8696866
F,36,46618,0.80396354
F,41,48108,0.85055506
F,41,46386,0.8007168
F,39,83066,0.81902486
F,38,80369,0.8107618
F,36,38902,0.9505115
F,40,60770,0.86763215
F,39,114635,0.8172335
F,33,34058,0.9334831
F,40,51138,0.89187825
F,38,43417,0.850028
F,40,46925,0.80396354
F,45,56563,0.87476593
F,38,43603,0.913416
F,39,43738,0.913416
F,41,54126,0.8316603
F,37,62938,0.9019283
F,38,53061,0.8696866
F,35,49717,0.8471505
F,41,46474,0.8007168
F,37,55870,0.90755266
F,39,69474,0.8670402
F,39,48534,0.736975
F,37,52583,0.8696866
F,37,64751,0.928821
F,38,49146,0.736975
F,37,56753,0.87476593
F,33,42618,0.850028
F,39,40869,0.9492823
F,40,55789,0.90755266
F,33,42914,0.850028
F,36,52662,0.8696866
F,35,48234,0.85055506
F,36,42570,0.850028
F,37,54850,0.9285531
F,36,53815,0.8316603
F,37,48633,0.736975
F,38,57961,0.8754503
F,34,59990,0.8749949
F,36,40120,0.88445956
F,41,49222,0.736975
F,39,50025,0.8471505
F,39,41843,0.9320632
F,40,50984,0.89187825
F,44,48208,0.85055506
F,36,70129,0.86118555
F,40,44470,0.913416
F,38,45447,0.8794324
F,38,51035,0.89187825
F,40,48188,0.85055506
F,38,57128,0.87476593
F,37,49152,0.736975
F,33,42664,0.850028
F,37,44895,0.8794324
F,35,49428,0.736975
F,40,47032,0.80396354
F,34,39582,0.88445956
F,36,43840,0.913416
F,39,47393,0.80396354
F,40,49594,0.8471505
F,39,50972,0.89187825
F,33,58165,0.8754503
F,34,55639,0.90755266
F,36,37517,0.9465305
F,34,40934,0.9492823
F,34,63378,0.9019283
F,34,51171,0.89187825
F,39,44502,0.8794324
F,38,45520,0.8007168
F,36,40200,0.88445956
F,36,39079,0.9505115
F,38,40583,0.9492823
F,36,49120,0.736975
F,33,46163,0.8007168
F,40,38320,0.9465305
F,37,45591,0.8007168
F,37,48423,0.85055506
F,41,50117,0.8471505
F,37,44878,0.8794324
F,36,47045,0.80396354
F,40,46841,0.80396354
F,36,51779,0.9039495
F,43,49017,0.736975
F,37,48339,0.85055506
F,37,48176,0.85055506
F,34,50703,0.89187825
F,38,46771,0.80396354
F,35,48068,0.85055506
F,38,45833,0.8007168
F,38,40024,0.88445956
F,36,42392,0.9320632
F,39,54400,0.8316603
F,36,42486,0.9320632
F,36,40171,0.88445956
F,41,43603,0.913416
F,44,59605,0.8749949
F,31,36782,0.91534823
F,43,42249,0.9320632
F,37,44610,0.8794324
F,38,51969,0.9039495
F,36,59192,0.92366874
F,37,46205,0.8007168
F,39,42544,0.850028
F,37,46855,0.80396354
F,38,43940,0.913416
F,31,45162,0.8794324
F,38,47442,0.80396354
F,38,45942,0.8007168
F,41,43403,0.850028
F,42,44452,0.913416
F,36,40112,0.88445956
F,37,39823,0.88445956
F,40,52572,0.8696866
F,36,52651,0.8696866
F,33,46698,0.80396354
F,33,42890,0.850028
F,42,54396,0.8316603
F,39,42349,0.9320632
F,38,52537,0.8696866
F,36,47024,0.80396354
F,37,45941,0.8007168
F,46,37058,0.91534823
F,38,55352,0.9285531
F,37,45265,0.8794324
F,30,36720,0.91534823
F,35,40507,0.9492823
F,35,46450,0.8007168
F,35,42768,0.850028
F,41,47281,0.80396354
F,39,44764,0.8794324
F,38,45147,0.8794324
F,35,51035,0.89187825
F,37,47896,0.85055506
F,29,42103,0.9320632
F,37,43892,0.913416
F,39,48991,0.736975
F,34,45892,0.8007168
F,39,42668,0.850028
F,37,62053,0.8999975
F,39,64506,0.928821
F,31,45756,0.8007168
F,35,48039,0.85055506
F,40,41546,0.9320632
F,31,31028,0.9575691
F,41,51135,0.89187825
F,36,51025,0.89187825
F,32,41767,0.9320632
F,40,66166,0.9044372
F,40,55759,0.90755266
F,31,112486,0.7815717
F,37,59211,0.92366874
F,37,64594,0.928821
F,37,55542,0.90755266
F,38,41862,0.9320632
F,34,47026,0.80396354
F,37,42230,0.9320632
F,37,44487,0.913416
F,37,44771,0.8794324
F,40,39795,0.88445956
F,40,57578,0.8754503
F,38,40847,0.9492823
F,38,41955,0.9320632
F,40,81346,0.82094
F,36,63018,0.9019283
F,40,58238,0.8754503
F,38,55263,0.9285531
F,40,53651,0.8316603
F,48,62523,0.9019283
F,48,47357,0.80396354
F,44,40695,0.9492823
F,30,48033,0.85055506
F,32,46896,0.80396354
F,36,51377,0.89187825
F,39,54921,0.9285531
F,36,57564,0.8754503
F,37,47771,0.85055506
F,38,49502,0.8471505
F,38,44841,0.8794324
F,38,65925,0.9044372
F,43,49894,0.8471505
F,40,48496,0.85055506
F,37,52374,0.9039495
F,41,59131,0.92366874
F,44,58571,0.92366874
F,35,40629,0.9492823
F,38,61432,0.86763215
F,38,56035,0.90755266
F,40,58111,0.8754503
F,27,45385,0.8794324
F,38,51091,0.89187825
F,36,59780,0.8749949
F,38,52101,0.9039495
F,40,49428,0.736975
F,38,64106,0.83338493
F,38,59304,0.92366874
F,35,45235,0.8794324
F,41,48577,0.736975
F,37,56692,0.87476593
F,40,52654,0.8696866
F,38,45998,0.8007168
F,38,40330,0.88445956
F,37,59341,0.92366874
F,40,44348,0.913416
F,38,42365,0.9320632
F,39,41755,0.9320632
F,39,48263,0.85055506
F,37,47571,0.85055506
F,35,56856,0.87476593
F,43,50158,0.8471505
F,36,54047,0.8316603
F,35,48208,0.85055506
F,37,65144,0.928821
F,39,111155,0.73591703
F,40,59727,0.8749949
F,38,76885,0.7872707
F,44,62595,0.9019283
F,36,66422,0.9044372
F,41,72874,0.84414464
F,37,48247,0.85055506
F,37,80089,0.8107618
F,39,52378,0.9039495
F,38,49749,0.8471505
F,37,44222,0.913416
F,35,53810,0.8316603
F,35,64194,0.83338493
F,37,50464,0.8471505
F,37,45545,0.8007168
F,38,47849,0.85055506
F,39,51478,0.89187825
F,39,55454,0.9285531
F,37,43772,0.913416
F,37,43111,0.850028
F,41,46715,0.80396354
F,34,51874,0.9039495
F,39,41941,0.9320632
F,39,52317,0.9039495
F,36,47120,0.80396354
F,41,52494,0.9039495
F,61,57746,0.8754503
F,38,48974,0.736975
F,38,70078,0.86118555
F,39,47598,0.85055506
F,37,53898,0.8316603
F,37,54306,0.8316603
F,34,38360,0.9465305
F,38,58755,0.92366874
F,37,52430,0.9039495
F,37,51000,0.89187825
F,32,43082,0.850028
F,35,44242,0.913416
F,38,48237,0.85055506
F,34,43695,0.913416
F,42,45516,0.8007168
F,36,50624,0.89187825
F,40,45390,0.8794324
F,40,50246,0.8471505
F,39,50765,0.89187825
F,39,58001,0.8754503
F,33,45672,0.8007168
F,39,51994,0.9039495
F,42,43971,0.913416
F,37,39634,0.88445956
