2019,2020,2021,prediction_mean,State/Province_x,City_State,Count,City,Longitude,Latitude,POPESTIMATE,POPEST_MALE,POPEST_FEMALE,UNDER5_TOTAL,UNDER5_MALE,UNDER5_FEMALE,AGE513_TOTAL,AGE513_MALE,AGE513_FEMALE,AGE1417_TOTAL,AGE1417_MALE,AGE1417_FEMALE,AGE1824_TOTAL,AGE1824_MALE,AGE1824_FEMALE,AGE16PLUS_TOTAL,AGE16PLUS_MALE,AGE16PLUS_FEMALE,AGE18PLUS_TOTAL,AGE18PLUS_MALE,AGE18PLUS_FEMALE,AGE1544_TOTAL,AGE1544_MALE,AGE1544_FEMALE,AGE2544_TOTAL,AGE2544_MALE,AGE2544_FEMALE,AGE4564_TOTAL,AGE4564_MALE,AGE4564_FEMALE,AGE65PLUS_TOTAL,AGE65PLUS_MALE,AGE65PLUS_FEMALE,AGE04_TOTAL,AGE04_MALE,AGE04_FEMALE,AGE59_TOTAL,AGE59_MALE,AGE59_FEMALE,AGE1014_TOTAL,AGE1014_MALE,AGE1014_FEMALE,AGE1519_TOTAL,AGE1519_MALE,AGE1519_FEMALE,AGE2024_TOTAL,AGE2024_MALE,AGE2024_FEMALE,AGE2529_TOTAL,AGE2529_MALE,AGE2529_FEMALE,AGE3034_TOTAL,AGE3034_MALE,AGE3034_FEMALE,AGE3539_TOTAL,AGE3539_MALE,AGE3539_FEMALE,AGE4044_TOTAL,AGE4044_MALE,AGE4044_FEMALE,AGE4549_TOTAL,AGE4549_MALE,AGE4549_FEMALE,AGE5054_TOTAL,AGE5054_MALE,AGE5054_FEMALE,AGE5559_TOTAL,AGE5559_MALE,AGE5559_FEMALE,AGE6064_TOTAL,AGE6064_MALE,AGE6064_FEMALE,AGE6569_TOTAL,AGE6569_MALE,AGE6569_FEMALE,AGE7074_TOTAL,AGE7074_MALE,AGE7074_FEMALE,AGE7579_TOTAL,AGE7579_MALE,AGE7579_FEMALE,AGE8084_TOTAL,AGE8084_MALE,AGE8084_FEMALE,AGE85PLUS_TOTAL,AGE85PLUS_MALE,AGE85PLUS_FEMALE,MEDIAN_AGE_TOTAL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE
62824,64367,67085,0.9139391,AK,"Anchorage, AK",24,Anchorage,-149.78,61.21,398807,205103,193704,26014,13280,12734,49994,25603,24391,21808,11221,10587,35892,20043,15849,311757,160493,151264,300991,154999,145992,172390,90527,81863,120279,62171,58108,94230,48286,45944,50590,24499,26091,26014,13280,12734,27762,14073,13689,27821,14438,13383,25134,13241,11893,26977,15115,11862,30562,16134,14428,32603,16703,15900,31240,16092,15148,25874,13242,12632,22708,11781,10927,23466,12054,11412,24212,12312,11900,23844,12139,11705,19825,9900,9925,14381,7183,7198,8203,3965,4238,4454,2008,2446,3727,1443,2284,35.4,34.9,35.9
61447,64636,68688,0.842256085,MI,"Ann Arbor, MI",14,Ann Arbor,-83.77,42.24,369390,183523,185867,17246,8707,8539,33961,17395,16566,16835,8619,8216,65964,32917,33047,309828,153129,156699,301348,148802,152546,174326,88460,85866,95668,49055,46613,83791,41391,42400,55925,25439,30486,17246,8707,8539,18335,9410,8925,19767,10116,9651,32859,16401,16458,45799,23004,22795,27829,14379,13450,24152,12543,11609,22454,11493,10961,21233,10640,10593,19938,9871,10067,21643,10796,10847,21545,10669,10876,20665,10055,10610,18657,8761,9896,16045,7527,8518,9932,4587,5345,5904,2574,3330,5387,1990,3397,34.7,33.8,35.7
36869,39546,42621,0.907833565,AL,"Anniston-Oxford, AL",2,Anniston-Oxford,-85.78,33.61,115972,56089,59883,6580,3391,3189,12514,6405,6109,6033,3148,2885,10932,5415,5517,93800,44707,49093,90845,43145,47700,44193,21804,22389,28797,14037,14760,29705,14374,15331,21411,9319,12092,6580,3391,3189,6777,3419,3358,7306,3782,3524,7761,3968,3793,7635,3799,3836,7209,3543,3666,7586,3692,3894,6923,3384,3539,7079,3418,3661,6737,3287,3450,7317,3541,3776,7729,3818,3911,7922,3728,4194,7260,3394,3866,6046,2704,3342,3787,1616,2171,2378,991,1387,1940,614,1326,40.1,38.7,41.5
52516,55177,58312,0.890290915,WI,"Appleton, WI",4,Appleton,-88.47,44.27,244084,122872,121212,13798,7108,6690,28786,14848,13938,13804,7057,6747,20066,10344,9722,194611,97384,97227,187696,93859,93837,94089,48301,45788,63729,32707,31022,64916,32740,32176,38985,18068,20917,13798,7108,6690,15529,7943,7586,16767,8712,8055,16054,8244,7810,14306,7350,6956,15014,7814,7200,15707,8027,7680,16722,8512,8210,16286,8354,7932,14401,7385,7016,16169,8149,8020,17596,8866,8730,16750,8340,8410,13624,6711,6913,10602,5095,5507,6627,3007,3620,4309,1857,2452,3823,1398,2425,39.4,38.7,40.3
48247,50891,54827,0.81999985,NC,"Asheville, NC",13,Asheville,-82.52,35.58,472341,228238,244103,21252,10878,10374,43085,22016,21069,20685,10604,10081,33775,16882,16893,397635,190064,207571,387319,184740,202579,168455,83293,85162,119199,58467,60732,125619,60799,64820,108726,48592,60134,21252,10878,10374,23402,11987,11415,24887,12689,12198,25212,12905,12307,24044,11921,12123,28041,13760,14281,30964,15135,15829,30201,14793,15408,29993,14779,15214,28753,14494,14259,30605,15207,15398,31939,15281,16658,34322,15817,18505,33907,15614,18293,31097,14343,16754,20215,9160,11055,12361,5397,6964,11146,4078,7068,44.7,43.4,46
56120,58963,63219,0.867928865,GA,"Atlanta-Sandy Springs-Alpharetta, GA",82,Atlanta-Sandy Springs-Alpharetta,-84.36,34.08,6144050,2979550,3164500,358670,182985,175685,739249,375790,363459,360820,182654,178166,554956,277827,277129,4864237,2328477,2535760,4685311,2238121,2447190,2546195,1245649,1300546,1721906,831656,890250,1601867,775504,826363,806582,353134,453448,358670,182985,175685,394843,200257,194586,435893,222021,213872,430316,217908,212408,393973,196085,197888,428573,209385,219188,441415,213426,227989,428418,206767,221651,423500,202078,221422,416739,199825,216914,429487,210412,219075,402980,196201,206779,352661,169066,183595,282871,129957,152914,230509,102378,128131,142136,62378,79758,83002,34700,48302,68064,23721,44343,37.2,36.2,38.2
50196,55273,58310,0.890290915,NJ,"Atlantic City-Hammonton, NJ",6,Atlantic City-Hammonton,-74.74,39.55,274966,134217,140749,14223,7384,6839,29426,15178,14248,13878,7086,6792,23989,12139,11850,224386,108148,116238,217439,104569,112870,98451,49253,49198,64059,31778,32281,76382,36673,39709,53009,23979,29030,14223,7384,6839,15819,8134,7685,17082,8794,8288,17160,8783,8377,17232,8692,8540,17023,8536,8487,16142,8054,8088,15680,7756,7924,15214,7432,7782,15906,7575,8331,18689,8976,9713,20794,9994,10800,20993,10128,10865,17689,8449,9240,14235,6705,7530,9585,4288,5297,6040,2594,3446,5460,1943,3517,42.3,40.7,43.9
39355,41760,45002,0.8457059,AL,"Opelika, AL",3,Opelika,-85.41,32.62,177218,87445,89773,9619,5041,4578,18899,9713,9186,8768,4506,4262,29919,15355,14564,144192,70351,73841,139932,68185,71747,82692,41296,41396,46237,22594,23643,40584,19786,20798,23192,10450,12742,9619,5041,4578,10340,5253,5087,10791,5619,5172,14476,7246,7230,21979,11456,10523,12605,6311,6294,11654,5657,5997,11167,5406,5761,10811,5220,5591,10076,4837,5239,10609,5190,5419,10192,5033,5159,9707,4726,4981,8016,3718,4298,6734,3146,3588,4097,1886,2211,2442,1034,1408,1903,666,1237,33.7,32.4,35
63466,64916,71372,0.866361665,TX,"Austin-Round Rock-Georgetown, TX",75,"Austin-Round Rock-Georgetown, TX",-97.7,30.63,2352426,1185819,1166607,134919,69134,65785,266672,136785,129887,120708,61682,59026,218385,109006,109379,1889617,948634,940983,1830127,918218,911909,1092709,559093,533616,784599,404190,380409,554084,280506,273578,273059,124516,148543,134919,69134,65785,146266,74872,71394,151389,77698,73691,152050,77097,74953,156060,77806,78254,189682,96798,92884,210738,108864,101874,202989,105059,97930,181190,93469,87721,159656,82278,77378,146064,75157,70907,129058,64595,64463,119306,58476,60830,99138,46641,52497,78614,36713,41901,46091,21135,24956,26337,11514,14823,22879,8513,14366,35.8,35.5,36.2
39477,44063,45961,0.90493045,CA,"Bakersfield, CA",36,Bakersfield,-119.05,35.3,917673,471601,446072,65708,33716,31992,136537,69624,66913,61157,31131,30026,90349,48052,42297,684069,352328,331741,654271,337130,317141,399658,211924,187734,264053,140856,123197,195231,99390,95841,104638,48832,55806,65708,33716,31992,73785,37714,36071,78653,40025,38628,70920,36420,34500,64685,34648,30037,70407,37535,32872,70758,37757,33001,64930,34750,30180,57958,30814,27144,51149,26652,24497,49276,25108,24168,48446,24348,24098,46360,23282,23078,37164,18375,18789,28371,13387,14984,18270,8389,9881,11433,5131,6302,9400,3550,5850,32.4,32,32.8
62379,66328,70490,0.826537965,MD,"Baltimore-Columbia-Towson, MD",48,"Baltimore-Columbia-Towson, MD",-76.6,39.4,2838327,1374362,1463965,162250,82852,79398,315488,160949,154539,144173,73446,70727,241828,122503,119325,2287769,1093364,1194405,2216416,1057115,1159301,1128790,557631,571159,779692,380618,399074,731537,352110,379427,463359,201884,261475,162250,82852,79398,172072,87735,84337,180319,92150,88169,177914,90357,87557,171184,86656,84528,188730,93596,95134,207696,101083,106613,201177,97729,103448,182089,88210,93879,164886,79677,85209,182964,88434,94530,196063,94703,101360,187624,89296,98328,153462,71251,82211,126017,56795,69222,81490,35375,46115,51426,20900,30526,50964,17563,33401,38.9,37.7,40.1
43086,47574,50480,0.90626333,ME,"Bangor, ME",3,Bangor,-68.74,44.84,152765,76175,76590,6642,3352,3290,13456,7002,6454,7070,3758,3312,15773,8528,7245,129282,64035,65247,125597,62063,63534,59249,30497,28752,38111,19109,19002,42095,20731,21364,29618,13695,15923,6642,3352,3290,7134,3679,3455,8027,4221,3806,10643,5726,4917,10495,5662,4833,9388,4753,4635,10425,5287,5138,9396,4693,4703,8902,4376,4526,8897,4360,4537,10060,5004,5056,11383,5600,5783,11755,5767,5988,10028,4856,5172,8400,4031,4369,4924,2295,2629,3250,1380,1870,3016,1133,1883,42.3,40.8,43.8
